,TYPE,STATUT,ADRESSE,ARRONDISSEMENT,HORAIRE,ACCES_PMR,RELAIS_BEBE,URL_FICHE_EQUIPEMENT,geo_shape,geo_point_2d,lon,lat
0,SANISETTE,,RUE ROBERT BLACHE,75010,6h/1h,Oui,Non,,"{""coordinates"": [[2.363990501903871, 48.87701431314924]], ""type"": ""MultiPoint""}","48.87701431314924,2.363990501903871",2.363990501903871,48.87701431314924
1,SANISETTE,,face au 50 QUAI DE JEMMAPES,75010,24h/24h,Oui,Non,,"{""coordinates"": [[2.36659750721216, 48.87002790121456]], ""type"": ""MultiPoint""}","48.87002790121456,2.36659750721216",2.36659750721216,48.87002790121456
2,SANISETTE,,face au 4 BOULEVARD RICHARD LENOIR,75011,24h/24h,Oui,Non,,"{""coordinates"": [[2.36970018383113, 48.853983171388194]], ""type"": ""MultiPoint""}","48.853983171388194,2.36970018383113",2.36970018383113,48.853983171388194
3,SANISETTE,,opposé au 13 BOULEVARD DE MENILMONTANT,75011,6h/22h,Oui,Non,,"{""coordinates"": [[2.389122267946412, 48.85923461154838]], ""type"": ""MultiPoint""}","48.85923461154838,2.389122267946412",2.389122267946412,48.85923461154838
4,SANISETTE,,face au 7 BOULEVARD DE MENILMONTANT,75011,6h/22h,Oui,Non,,"{""coordinates"": [[2.38932122025704, 48.85881749412743]], ""type"": ""MultiPoint""}","48.85881749412743,2.38932122025704",2.38932122025704,48.85881749412743
5,SANISETTE,,1129  BOULEVARD JULES FERRY,75011,6h/22h,Oui,Non,,"{""coordinates"": [[2.368575496201813, 48.86729232571321]], ""type"": ""MultiPoint""}","48.86729232571321,2.368575496201813",2.368575496201813,48.86729232571321
6,SANISETTE,,259 bis AVENUE DAUMESNIL,75012,6h/22h,Oui,Non,,"{""coordinates"": [[2.404394145483592, 48.83651368622266]], ""type"": ""MultiPoint""}","48.83651368622266,2.404394145483592",2.404394145483592,48.83651368622266
7,SANISETTE,,face au 61 BOULEVARD AUGUSTE BLANQUI,75013,24h/24h,Oui,Non,,"{""coordinates"": [[2.349425440864941, 48.82948471703286]], ""type"": ""MultiPoint""}","48.82948471703286,2.349425440864941",2.349425440864941,48.82948471703286
8,SANISETTE,,88  AVENUE DU MAINE,75014,6h/1h,Oui,Non,,"{""coordinates"": [[2.322338362051345, 48.83811061304954]], ""type"": ""MultiPoint""}","48.83811061304954,2.322338362051345",2.322338362051345,48.83811061304954
9,SANISETTE,,68  RUE DE LA PROCESSION,75015,6h/22h,Oui,Non,,"{""coordinates"": [[2.309823199313869, 48.836413614647896]], ""type"": ""MultiPoint""}","48.836413614647896,2.309823199313869",2.309823199313869,48.836413614647896
10,SANISETTE,,6  BOULEVARD DU MONTPARNASSE,75015,24h/24h,Oui,Non,,"{""coordinates"": [[2.316945653588202, 48.846521372658216]], ""type"": ""MultiPoint""}","48.846521372658216,2.316945653588202",2.316945653588202,48.846521372658216
11,SANISETTE,,364  RUE LECOURBE,75015,6h/22h,Oui,Non,,"{""coordinates"": [[2.281691816923769, 48.836240943583995]], ""type"": ""MultiPoint""}","48.836240943583995,2.281691816923769",2.281691816923769,48.836240943583995
12,SANISETTE,,PLACE CHARLES FILLION,75017,24h/24h,Oui,Non,,"{""coordinates"": [[2.315811510931308, 48.88847096557176]], ""type"": ""MultiPoint""}","48.88847096557176,2.315811510931308",2.315811510931308,48.88847096557176
13,SANISETTE,,face au 10 BOULEVARD DES BATIGNOLLES,75017,24h/24h,Oui,Non,,"{""coordinates"": [[2.326311830075078, 48.88334503192717]], ""type"": ""MultiPoint""}","48.88334503192717,2.326311830075078",2.326311830075078,48.88334503192717
14,SANISETTE,,3  AVENUE DE LA PORTE D AUBERVILLIERS,75018,6h/22h,Oui,Non,,"{""coordinates"": [[2.370126499080757, 48.899198846438914]], ""type"": ""MultiPoint""}","48.899198846438914,2.370126499080757",2.370126499080757,48.899198846438914
15,SANISETTE,,face au 148 BOULEVARD DE MENILMONTANT,75020,24h/24h,Oui,Non,,"{""coordinates"": [[2.383389726625512, 48.86675503488674]], ""type"": ""MultiPoint""}","48.86675503488674,2.383389726625512",2.383389726625512,48.86675503488674
16,SANISETTE,,34  BOULEVARD DE BELLEVILLE,75020,6h/22h,Oui,Non,,"{""coordinates"": [[2.381897995848262, 48.86834301160021]], ""type"": ""MultiPoint""}","48.86834301160021,2.381897995848262",2.381897995848262,48.86834301160021
17,SANISETTE,,131  RUE D AVRON,75020,6h/22h,Oui,Non,,"{""coordinates"": [[2.409258092200667, 48.85331628203856]], ""type"": ""MultiPoint""}","48.85331628203856,2.409258092200667",2.409258092200667,48.85331628203856
