TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;RUE ROBERT BLACHE;75010;6 h - 1 h;Oui;;;"{""coordinates"": [[2.363990501903871, 48.87701431314924]], ""type"": ""MultiPoint""}";48.87701431314924,2.363990501903871
SANISETTE;;face au 50 QUAI DE JEMMAPES;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.36659750721216, 48.87002790121456]], ""type"": ""MultiPoint""}";48.87002790121456,2.36659750721216
SANISETTE;;face au 4 BOULEVARD RICHARD LENOIR;75011;24 h / 24;Oui;;;"{""coordinates"": [[2.36970018383113, 48.853983171388194]], ""type"": ""MultiPoint""}";48.853983171388194,2.36970018383113
SANISETTE;;opposé au 13 BOULEVARD DE MENILMONTANT;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.389122267946412, 48.85923461154838]], ""type"": ""MultiPoint""}";48.85923461154838,2.389122267946412
SANISETTE;;face au 7 BOULEVARD DE MENILMONTANT;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.38932122025704, 48.85881749412743]], ""type"": ""MultiPoint""}";48.85881749412743,2.38932122025704
SANISETTE;;1129  BOULEVARD JULES FERRY;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.368575496201813, 48.86729232571321]], ""type"": ""MultiPoint""}";48.86729232571321,2.368575496201813
SANISETTE;;259 bis AVENUE DAUMESNIL;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.404394145483592, 48.83651368622266]], ""type"": ""MultiPoint""}";48.83651368622266,2.404394145483592
SANISETTE;;face au 61 BOULEVARD AUGUSTE BLANQUI;75013;24 h / 24;Oui;;;"{""coordinates"": [[2.349425440864941, 48.82948471703286]], ""type"": ""MultiPoint""}";48.82948471703286,2.349425440864941
SANISETTE;;88  AVENUE DU MAINE;75014;6 h - 1 h;Oui;;;"{""coordinates"": [[2.322338362051345, 48.83811061304954]], ""type"": ""MultiPoint""}";48.83811061304954,2.322338362051345
SANISETTE;;68  RUE DE LA PROCESSION;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.309823199313869, 48.836413614647896]], ""type"": ""MultiPoint""}";48.836413614647896,2.309823199313869
